"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"B19"	"B20"	"B21"	"B22"	"B23"	"B24"	"B25"
"AK028016"	10	5	1	3	7	14	12	3	8	3	13	16	6	13	10	15	5	8	5	16	11	3	11	3	3
"AK028499"	3	2	10	12	11	12	5	12	6	13	5	8	2	6	11	1	15	4	6	3	13	1	7	10	2
"AK028510"	5	6	13	10	16	13	1	12	6	14	16	12	15	12	12	14	4	4	10	4	16	15	11	11	2
"AK028856"	1	8	4	4	4	14	12	6	4	4	10	4	6	13	3	7	14	15	14	12	11	3	9	2	3
"AK028982"	16	14	2	7	13	4	16	8	2	10	4	7	7	10	5	12	3	5	8	15	9	12	5	12	10
"AK028994"	15	9	14	5	2	6	4	1	15	8	7	3	12	3	2	8	8	12	7	14	12	2	13	15	5
"AK029171"	6	11	15	11	14	2	14	9	14	6	3	10	3	4	16	13	7	6	4	1	1	5	4	9	10
"AK029175"	3	2	10	12	11	12	5	12	6	13	5	8	2	12	11	2	12	4	6	3	13	1	7	10	2
"AK029243"	11	2	13	12	16	12	5	12	6	14	5	15	14	12	11	10	11	4	6	4	13	15	7	11	2
"AK029272"	9	11	6	9	14	10	8	13	12	10	1	2	3	16	1	11	1	6	15	10	1	7	4	5	6
"AK029281"	8	15	7	5	1	8	2	4	13	1	9	9	9	5	7	6	13	1	1	5	12	16	10	15	12
"AK029300"	11	9	12	13	15	6	4	12	6	14	2	15	14	12	2	10	11	4	9	4	16	15	13	7	2
"AK029378"	11	1	13	12	16	12	4	12	6	14	16	15	14	12	2	10	11	4	9	4	16	15	6	11	2
"AK029391"	11	9	12	13	15	13	6	10	1	14	2	15	14	12	2	10	11	4	9	4	16	15	16	11	13
"AK029539"	5	1	16	15	16	3	13	15	5	5	16	6	2	7	15	2	12	3	16	3	5	9	6	6	1
"AK029601"	3	2	10	12	11	12	5	12	6	13	5	8	14	12	11	1	15	4	6	9	13	1	7	10	2
"AK029757"	1	9	14	13	15	6	4	7	4	4	10	1	14	11	2	10	8	4	13	4	2	3	13	15	3
"AK029840"	5	16	6	16	7	5	11	3	3	3	15	12	8	1	15	14	4	2	10	7	9	13	11	6	9
"AK029860"	1	8	4	6	4	14	12	6	4	4	16	4	6	13	3	7	14	15	14	12	11	3	9	2	3
"AK029884"	5	6	12	13	7	13	6	3	1	3	11	12	15	8	9	14	4	9	13	13	2	13	11	7	9
"AK029958"	5	16	6	16	16	9	11	3	5	3	15	12	8	1	15	2	4	2	10	3	5	13	12	6	1
